hostel_id,city,distance_to_center_km,rating,num_reviews,room_type,beds_in_room,breakfast_included,wifi,laundry,season,weekend,occupancy_rate,latitude,longitude,distance_to_transport_hub_km,distance_to_popular_places,neighbourhood_popularity_score,walkability_score,noise_level_index,sentiment_score,review_keywords_count,topic_category,recent_sentiment_trend,days_until_checkin,surge_pricing_flag,competitor_average_price,competitor_availability,price_last_week,month,holiday_or_festival,special_event_flag,seasonal_index,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,bathroom_type,price_per_night
14,Varanasi,0.14,6.0,1408,shared,12,0,1,0,peak,0,0.54,25.316874961594568,83.0449391612394,7.18,1.38,8.4,64.0,6.1,0.68,37,noise,0.13,11,0,1284.89,0.7,800.84,5,0,0,1.0,8,1,1,1,0,0,3,119,shared,1232.33
15,Hyderabad,0.35,6.7,1479,shared,6,0,1,0,shoulder,0,0.66,17.345089075910007,78.50213543907427,0.53,0.79,5.3,48.0,8.2,0.97,41,staff,-0.04,17,1,515.7,0.73,530.33,5,1,0,1.0,47,1,1,1,1,1,5,111,ensuite,1833.06
16,Jaipur,1.49,6.4,387,shared,4,1,1,1,peak,0,0.96,26.993334687506348,75.79095046228264,3.41,3.49,9.5,70.0,2.4,0.43,46,cleanliness,0.04,17,1,437.05,0.18,1389.97,2,0,0,0.7,13,1,1,1,1,1,2,176,shared,1361.1
17,Goa,0.4,7.7,1423,shared,8,1,1,0,low,0,0.71,15.21739725836991,74.10525085328555,2.46,0.53,9.6,93.0,5.8,0.11,43,cleanliness,0.11,16,1,1464.28,0.17,489.26,4,0,1,0.9,3,0,1,1,1,0,4,191,shared,1668.19
18,Hyderabad,9.4,8.3,1690,shared,8,0,1,0,low,0,0.52,17.45896480177741,78.55031897900918,0.01,0.01,3.3,68.0,7.9,0.49,11,staff,0.22,38,0,1312.16,0.89,1314.13,5,0,0,1.0,15,1,1,1,1,0,1,317,shared,687.98
19,Hyderabad,4.8,6.8,1084,private,4,0,1,1,low,0,0.56,17.360341040483185,78.42311352245561,9.97,0.33,3.1,52.0,9.9,0.63,34,staff,0.23,85,1,662.4,0.19,300.58,11,0,0,0.8,21,1,1,1,0,1,2,91,shared,1016.28
20,Bangalore,0.9,9.6,251,shared,8,0,1,1,low,1,0.63,13.047724703195005,77.50584498316483,2.82,0.17,6.0,46.0,9.0,0.05,35,location,0.26,12,0,550.29,0.65,781.71,11,1,0,0.8,42,1,1,1,1,0,4,350,ensuite,960.2
21,Kolkata,2.66,6.0,1327,shared,2,0,1,0,peak,0,0.77,22.61835229166648,88.45347876453694,2.29,0.58,7.1,97.0,8.8,0.66,49,location,0.19,44,0,700.85,0.7,332.89,6,0,0,1.1,29,0,1,1,1,1,3,266,shared,1544.83
22,Jaipur,12.11,8.9,929,shared,6,1,1,1,shoulder,0,0.66,26.83323414533241,75.68805563704069,1.04,2.62,4.9,85.0,3.2,0.5,41,staff,-0.21,18,1,817.47,0.15,1303.7,7,0,0,1.2,47,1,1,1,1,0,1,267,ensuite,1650.32
23,Delhi,6.47,8.4,1596,private,6,0,1,0,shoulder,0,0.64,28.770407257301873,77.19786586437517,1.62,1.58,4.8,59.0,8.5,0.53,25,noise,0.15,87,1,1285.3,0.7,438.48,10,0,0,0.9,27,0,0,1,0,0,4,151,shared,1398.99
24,Hyderabad,2.75,7.4,275,shared,8,1,1,1,shoulder,0,0.74,17.421435366739903,78.53247067397476,0.58,0.28,7.7,58.0,2.5,0.17,38,location,0.19,18,0,587.04,0.44,1040.41,11,0,0,0.8,30,0,1,1,0,0,4,339,ensuite,924.32
25,Rishikesh,7.02,6.2,1153,shared,6,1,1,0,peak,0,0.55,29.99336038258307,78.23329978393957,0.07,2.33,7.2,94.0,2.8,-0.01,25,noise,0.23,20,1,1165.01,0.32,994.34,3,0,0,0.8,14,1,1,1,1,0,4,106,shared,1332.64
26,Agra,13.58,8.4,721,shared,8,1,1,1,peak,1,0.45,27.103440536421935,78.04766396861726,3.62,1.05,4.2,51.0,2.0,0.55,44,staff,0.25,23,1,1415.15,0.63,1156.98,3,0,0,0.8,41,0,1,1,1,1,4,180,shared,1039.94
27,Kolkata,4.08,7.5,1950,private,6,1,1,0,peak,0,0.41,22.59972561116714,88.42747503143703,4.54,1.08,9.2,72.0,8.7,0.5,24,cleanliness,0.01,29,1,755.41,0.77,1121.57,10,0,0,0.9,15,0,1,1,0,1,2,260,shared,2030.17
28,Delhi,0.2,9.6,1281,shared,8,0,1,0,shoulder,0,0.55,28.736620100576058,77.0515724111973,0.35,0.67,7.8,83.0,2.0,0.21,38,staff,0.09,47,0,331.26,0.56,335.69,12,0,0,0.9,46,1,1,1,1,1,1,118,ensuite,1478.73
29,Rishikesh,1.54,8.1,79,shared,12,1,1,0,peak,0,0.45,30.136230286567518,78.32177913665592,3.09,3.0,5.5,64.0,2.2,0.16,12,staff,-0.29,34,1,1293.14,0.8,727.24,2,1,1,0.7,47,1,1,1,1,0,3,354,shared,1588.99
30,Jaipur,5.46,9.6,1886,shared,8,1,1,1,peak,0,0.6,26.956449080154997,75.84817392500165,2.7,0.57,7.8,42.0,3.2,0.22,36,value,0.04,58,0,1150.1,0.12,654.78,9,0,0,1.0,46,1,1,1,0,0,1,196,shared,1911.03
31,Mumbai,0.79,6.8,66,shared,12,1,1,1,low,0,0.86,19.10790399093399,72.82757092602507,0.39,0.15,3.8,54.0,6.2,0.39,34,staff,-0.02,16,0,478.88,0.69,1370.17,1,1,0,0.7,42,1,0,1,0,0,2,93,shared,672.22
32,Rishikesh,5.33,8.8,1415,private,2,0,1,0,low,0,0.83,30.140147780349285,78.1759852708756,1.1,0.54,6.3,94.0,8.9,0.97,33,location,0.28,47,1,1016.29,0.24,1152.38,3,0,0,0.8,44,1,0,1,1,1,1,295,ensuite,1266.74
33,Udaipur,0.38,8.3,48,private,6,1,1,1,shoulder,0,0.77,24.600417141178475,73.65332445691162,1.1,1.88,4.2,71.0,4.8,0.72,9,cleanliness,0.24,54,0,1289.78,0.33,1078.76,3,0,0,0.8,14,1,0,1,1,1,2,204,ensuite,1253.11
34,Kolkata,0.14,8.8,810,shared,4,0,1,0,low,0,0.91,22.524758277104894,88.30402928177789,2.85,1.61,3.3,89.0,5.9,0.82,34,noise,0.18,8,0,517.24,0.56,786.38,8,0,0,1.2,25,1,0,1,1,1,2,360,ensuite,1212.98
35,Manali,1.45,6.8,1476,private,4,1,1,1,low,0,0.57,32.322075322746144,77.10174809083509,3.64,0.31,5.4,73.0,2.5,0.41,16,value,-0.27,76,0,567.48,0.32,1280.07,12,0,0,0.9,27,1,0,1,1,1,2,168,shared,1346.14
36,Rishikesh,0.11,8.5,1051,shared,8,0,1,0,low,0,0.93,29.990542806186397,78.31280147693104,0.2,0.18,4.1,97.0,3.4,0.43,43,location,-0.06,13,0,542.14,0.23,318.5,6,0,1,1.1,47,1,0,0,1,0,2,385,ensuite,1386.81
37,Pune,9.46,7.9,1985,shared,2,1,1,1,peak,0,0.64,18.4937123439743,73.83269498489169,1.66,1.62,7.4,95.0,2.2,0.05,31,cleanliness,0.12,25,0,1497.0,0.81,551.28,3,1,0,0.8,44,1,1,1,1,0,4,190,shared,1592.07
38,Mumbai,5.25,8.8,741,shared,6,0,1,1,low,1,0.64,19.121774058619433,72.95457723349078,2.87,1.69,7.7,69.0,4.7,0.67,17,noise,-0.28,51,1,575.43,0.83,1064.51,1,0,0,0.7,2,0,1,1,1,0,1,158,ensuite,1102.32
39,Varanasi,4.84,7.2,834,shared,6,0,1,1,low,0,0.64,25.303031208229935,82.92433422113304,3.09,0.68,4.0,59.0,6.3,0.31,14,cleanliness,-0.16,84,1,620.3,0.13,859.23,3,0,0,0.8,17,1,1,1,1,0,5,249,shared,713.93
40,Varanasi,2.98,9.4,765,private,6,0,1,0,low,1,0.46,25.222566881496,82.96454643301999,0.32,2.78,3.2,76.0,3.6,0.69,40,location,0.23,43,0,357.51,0.5,887.19,4,0,0,0.9,15,1,0,1,1,0,2,101,shared,1182.13
41,Kerala,0.73,6.3,361,shared,6,0,1,0,peak,0,0.99,10.763696180623242,76.29890348578536,1.49,5.74,8.5,80.0,8.6,0.29,35,cleanliness,-0.22,83,0,1479.93,0.26,757.98,1,0,1,0.7,27,0,0,1,1,1,2,235,shared,1125.9
42,Udaipur,2.19,9.1,1849,shared,8,0,1,1,shoulder,0,0.48,24.61512747382766,73.78799298993437,3.9,0.35,3.0,70.0,9.8,-0.07,20,staff,-0.27,10,0,596.1,0.79,483.1,3,0,0,0.8,10,1,1,1,0,0,1,296,shared,1000.5
43,Rishikesh,2.73,9.3,1331,shared,4,0,1,0,peak,0,0.6,30.17987291988106,78.27252422032387,0.77,1.29,5.4,89.0,2.1,0.01,43,cleanliness,0.05,50,0,1170.28,0.47,482.84,4,0,0,0.9,43,1,0,1,0,0,4,80,shared,1608.12
44,Rishikesh,2.23,9.1,292,shared,6,1,1,0,peak,0,0.59,30.0972727271669,78.24230492556248,1.11,0.01,6.5,51.0,1.2,0.77,49,staff,0.27,41,1,331.64,0.48,623.93,7,0,0,1.2,46,1,0,1,1,0,3,340,shared,2296.34
45,Kerala,0.9,7.9,1619,shared,8,1,0,0,low,0,0.44,10.851851563604754,76.3445030156944,3.26,1.87,8.7,60.0,8.1,0.11,40,location,0.2,61,0,1240.08,0.6,815.14,4,0,0,0.9,9,0,0,1,1,0,2,191,shared,943.86
46,Agra,2.17,7.7,119,shared,8,1,1,0,shoulder,0,0.49,27.140365042611254,77.97014928493752,0.19,0.8,8.9,81.0,2.7,0.12,30,value,0.28,34,0,1200.73,0.14,1206.54,1,1,0,0.7,3,1,0,1,1,1,4,178,shared,746.43
47,Agra,2.03,9.8,1026,private,6,0,1,0,low,1,0.43,27.128038134773213,77.92398473992651,3.93,0.32,8.1,55.0,4.2,0.92,48,staff,0.15,63,1,400.98,0.2,791.52,9,0,0,1.0,24,1,0,1,1,1,4,154,shared,1852.45
48,Kerala,16.83,6.9,1213,shared,10,0,1,1,low,0,0.58,10.754696996351257,76.26010842150205,0.75,2.09,4.7,66.0,4.5,0.59,24,cleanliness,-0.04,17,0,447.12,0.5,1287.57,6,0,0,1.1,1,0,0,1,1,0,5,222,shared,340.13
49,Agra,6.83,8.1,1971,shared,6,0,1,1,shoulder,0,0.92,27.131290973528095,78.06511866129959,0.0,2.5,8.0,98.0,9.2,-0.06,38,cleanliness,0.27,13,0,654.13,0.87,432.57,9,0,0,1.0,38,1,1,0,1,0,2,309,ensuite,994.93
50,Bangalore,1.87,8.5,553,private,6,1,1,1,shoulder,0,0.6,12.961422088173052,77.5007561663507,0.53,0.18,4.7,78.0,6.9,-0.03,41,cleanliness,-0.04,48,1,725.6,0.77,598.95,7,0,0,1.2,6,1,1,1,0,0,4,153,ensuite,2631.27
51,Rishikesh,2.93,8.7,1779,private,2,1,1,0,peak,1,0.47,30.02648995660979,78.28477644899792,0.19,0.06,4.5,97.0,1.4,0.13,12,location,-0.09,68,0,1240.2,0.81,377.58,4,0,0,0.9,5,1,0,1,1,1,5,112,shared,2458.13
52,Chennai,4.13,6.8,1827,shared,6,0,1,1,shoulder,1,0.79,13.000169597696287,80.28959280970545,0.19,0.61,6.8,83.0,1.1,0.51,8,noise,-0.03,16,1,373.43,0.21,861.03,1,0,0,0.7,4,1,0,0,1,1,4,267,shared,1181.18
53,Goa,0.11,8.5,34,private,8,0,1,1,peak,0,1.0,15.342845573450921,74.20970835268547,2.36,1.48,7.8,83.0,2.8,0.7,33,cleanliness,0.19,20,0,1080.29,0.87,399.04,7,0,0,1.2,3,1,1,1,0,0,5,185,shared,3000.0
54,Pune,6.76,9.1,852,shared,4,1,1,1,peak,1,0.54,18.59932405381361,73.813992963429,0.48,2.37,3.4,76.0,3.9,0.13,35,cleanliness,0.25,13,1,574.24,0.68,1175.25,9,1,0,1.0,45,1,0,1,1,0,5,125,shared,2160.18
55,Bangalore,5.9,6.2,800,shared,6,1,1,0,low,0,0.57,13.058954413937418,77.55036732264215,5.46,1.18,3.4,49.0,5.4,0.84,6,staff,-0.09,2,0,758.96,0.36,343.74,12,0,0,0.9,30,1,1,1,0,0,5,362,ensuite,900.76
56,Jaipur,1.83,9.5,747,shared,8,1,1,1,low,0,0.98,26.935999745699398,75.77539673026794,1.45,1.3,8.5,71.0,8.5,-0.07,29,value,-0.02,30,0,302.64,0.79,822.93,6,0,1,1.1,36,0,0,1,0,1,4,107,shared,1487.92
57,Bangalore,1.49,6.1,66,private,6,1,1,1,low,0,0.51,12.882154916519857,77.56598298029431,1.23,2.41,9.0,55.0,3.8,0.05,42,cleanliness,0.24,88,0,649.35,0.7,762.68,12,1,0,0.9,23,1,0,1,0,0,3,186,ensuite,1072.34
58,Chennai,0.96,7.4,189,shared,4,0,1,1,shoulder,1,0.71,13.130872525992356,80.31796917253787,1.14,1.13,7.2,100.0,4.4,0.96,7,location,-0.27,46,0,505.61,0.69,522.46,1,1,0,0.7,7,0,0,1,0,1,1,113,shared,1192.92
59,Jaipur,1.94,6.1,241,shared,8,0,1,0,shoulder,1,0.54,26.83441906105238,75.81565041542632,2.36,1.42,6.0,56.0,4.0,-0.04,46,noise,0.17,43,0,904.77,0.69,945.54,9,0,0,1.0,32,1,0,1,1,0,5,175,shared,855.01
60,Pune,0.14,6.3,1927,shared,4,0,1,0,peak,1,0.96,18.554349623537565,73.90848420758125,1.2,1.09,8.9,54.0,1.1,0.87,47,noise,-0.03,16,0,489.83,0.74,724.71,7,0,0,1.2,43,0,1,1,1,0,2,206,shared,2320.28
61,Chennai,5.74,9.5,352,private,10,0,1,0,peak,0,0.99,13.138573167149577,80.33470835823974,0.28,3.19,8.1,77.0,9.6,0.64,9,noise,-0.07,89,0,1302.98,0.86,517.76,1,0,1,0.7,10,1,1,1,1,0,1,136,shared,1776.53
62,Delhi,0.11,7.3,486,shared,4,0,1,1,peak,1,0.89,28.749272942165295,77.18709622654684,4.24,0.4,7.1,71.0,2.3,-0.11,26,location,-0.03,80,0,1359.49,0.21,1209.22,4,0,1,0.9,37,1,1,0,1,1,3,203,shared,2011.85
63,Goa,1.2,7.6,1832,shared,8,0,1,0,shoulder,0,0.59,15.389676761152227,74.11018734635692,1.12,0.46,5.2,41.0,3.6,0.38,20,noise,-0.05,55,0,1314.35,0.9,1026.77,5,0,0,1.0,33,1,1,1,1,1,1,229,shared,1318.07
64,Pune,8.05,6.8,585,shared,6,0,1,1,peak,0,0.64,18.568029256893478,73.95363947789431,0.15,0.21,4.4,48.0,2.2,0.42,13,noise,0.15,82,0,1478.16,0.8,313.37,2,1,0,0.7,26,0,1,1,1,0,1,330,shared,853.62
65,Rishikesh,3.99,8.3,464,private,10,0,1,1,peak,0,0.55,30.12554195559636,78.21073216268073,1.51,2.57,5.9,89.0,5.4,0.92,13,staff,0.26,26,0,1397.58,0.45,852.05,3,0,0,0.8,43,1,0,0,0,0,3,106,ensuite,1553.69
66,Agra,0.99,8.3,1265,private,4,0,1,1,shoulder,0,0.93,27.12904863443662,78.05097303238946,2.08,0.8,5.0,69.0,9.4,0.31,16,noise,-0.01,70,1,635.75,0.23,598.44,2,0,0,0.7,45,0,1,1,0,0,2,281,shared,1335.11
67,Delhi,0.87,7.4,298,shared,8,0,1,1,low,0,0.95,28.78905373728718,77.10930186346144,0.64,0.64,5.4,49.0,1.9,0.34,46,staff,0.2,89,0,677.35,0.46,1306.62,4,0,0,0.9,31,1,1,1,1,1,5,202,shared,977.61
68,Udaipur,0.02,7.3,1246,shared,6,0,1,1,shoulder,0,0.65,24.521308774158832,73.77588011893698,3.22,5.97,6.6,68.0,5.0,-0.07,8,staff,0.14,68,0,939.19,0.72,1098.14,7,0,0,1.2,30,1,0,1,1,1,4,168,shared,1251.16
69,Pune,3.57,9.4,267,private,6,1,1,1,peak,1,0.79,18.601379322294623,73.8520541041213,2.22,3.92,4.2,55.0,1.2,0.57,22,staff,-0.1,1,0,761.95,0.58,972.78,5,0,0,1.0,23,1,0,1,1,1,2,139,shared,2491.39
70,Udaipur,0.15,7.5,539,shared,6,1,1,0,low,0,0.5,24.54793250866918,73.7692877270725,2.1,5.36,8.6,53.0,7.9,0.05,22,location,0.05,79,0,1463.89,0.32,397.96,7,1,0,1.2,29,1,0,1,1,0,2,151,shared,1393.12
71,Jaipur,2.28,7.9,696,private,8,0,1,1,shoulder,0,0.66,26.838432718775536,75.87333374292953,1.09,0.23,4.0,97.0,6.8,-0.11,46,cleanliness,0.1,61,0,707.44,0.43,1323.71,12,0,0,0.9,8,0,1,1,0,1,5,372,shared,1408.71
72,Delhi,9.82,7.1,938,private,10,0,1,1,low,1,0.78,28.769436605454235,77.14895885322802,6.54,3.33,6.4,62.0,7.3,1.0,47,value,-0.29,74,1,1188.1,0.86,458.62,1,1,0,0.7,16,1,1,1,1,0,2,189,ensuite,1104.58
73,Goa,0.35,9.0,238,shared,4,0,1,0,low,0,0.63,15.199799090720166,74.17921885724365,0.64,0.6,8.2,43.0,5.3,0.12,37,noise,-0.06,86,0,990.43,0.74,795.82,3,0,0,0.8,9,0,1,1,1,0,2,205,shared,974.66
74,Rishikesh,6.75,7.5,1259,shared,2,1,1,1,peak,0,0.61,30.153317663536168,78.18103508625317,1.72,0.02,6.4,98.0,9.2,-0.03,46,value,0.3,5,0,1447.78,0.2,1049.15,2,0,0,0.7,4,0,0,1,0,0,1,127,shared,916.27
75,Kerala,14.29,8.0,605,shared,8,0,0,0,shoulder,0,0.4,10.802962368409196,76.21209153244646,0.74,0.74,5.5,88.0,4.7,0.64,7,cleanliness,0.08,64,0,1193.42,0.54,844.25,12,1,0,0.9,19,1,1,1,1,0,1,331,shared,784.26
76,Rishikesh,0.19,7.0,1836,shared,4,0,1,0,peak,0,0.88,30.163844254551123,78.36246074810072,2.73,1.07,6.3,55.0,5.6,0.79,42,staff,-0.1,17,0,664.38,0.84,1270.72,1,0,0,0.7,39,1,0,1,1,1,3,348,shared,1157.94
77,Chennai,6.43,9.8,444,shared,12,1,1,0,shoulder,0,0.93,13.120995836448317,80.30933740075749,0.1,0.17,8.9,65.0,7.3,-0.12,21,staff,-0.15,54,0,536.48,0.13,1218.88,5,0,0,1.0,44,1,0,1,0,0,3,310,shared,1159.33
78,Rishikesh,2.18,7.1,891,shared,8,0,1,0,shoulder,0,0.98,30.12013666657012,78.2798898034622,0.09,1.16,9.9,92.0,5.7,-0.07,16,staff,-0.17,66,0,1325.54,0.13,448.9,3,0,0,0.8,41,1,0,0,0,0,3,394,shared,915.51
79,Manali,7.11,8.9,1030,shared,8,0,1,1,shoulder,1,0.83,32.21266391263297,77.16209527467929,3.33,2.57,7.4,61.0,2.7,-0.09,15,staff,-0.06,56,0,1393.22,0.67,979.4,8,0,0,1.2,13,1,0,1,1,1,4,94,ensuite,1593.42
80,Hyderabad,2.54,7.6,1791,shared,4,0,1,1,low,0,0.73,17.296880594778155,78.39557780024138,1.14,0.71,8.6,74.0,3.9,-0.14,21,noise,-0.18,18,0,1297.31,0.56,357.42,5,0,0,1.0,12,0,0,0,1,1,5,103,ensuite,903.0
81,Kerala,3.26,6.8,411,shared,4,0,1,1,low,0,0.56,10.916514619641116,76.24492718159283,0.83,0.65,3.1,72.0,1.8,0.59,39,cleanliness,-0.22,73,0,1184.94,0.14,1092.64,5,0,0,1.0,9,1,0,1,1,0,4,343,shared,951.24
82,Bangalore,2.35,9.0,631,shared,8,0,1,1,peak,0,1.0,12.905780759035306,77.59438257465791,1.87,0.62,9.2,64.0,4.9,0.51,45,cleanliness,-0.08,83,0,686.08,0.9,1109.62,7,1,0,1.2,12,0,1,1,1,0,4,185,shared,2692.9
83,Agra,6.0,7.3,1799,private,10,1,1,0,shoulder,0,0.75,27.151151728378952,77.95039190187738,2.42,3.85,9.7,78.0,6.5,0.6,10,cleanliness,0.06,10,1,906.45,0.56,678.94,8,0,0,1.2,24,0,1,1,0,1,3,198,shared,2129.08
84,Mumbai,3.97,9.3,97,shared,12,0,1,0,shoulder,0,0.81,19.096070937101818,72.81232735825478,0.45,0.07,7.0,68.0,2.1,0.41,39,value,-0.21,83,0,1398.84,0.49,1165.25,1,0,0,0.7,48,1,1,1,1,0,5,249,shared,924.77
85,Goa,2.21,9.5,593,private,4,1,1,1,low,1,0.81,15.295750747712125,74.1256833102715,0.41,0.88,8.3,41.0,6.7,0.78,10,staff,-0.27,54,0,461.88,0.46,1017.97,5,0,0,1.0,13,1,0,1,1,0,4,194,shared,1839.25
86,Delhi,6.08,9.3,1926,shared,4,0,1,1,shoulder,1,0.91,28.643832127034266,77.11968084712551,6.35,0.46,6.6,89.0,9.0,0.46,36,location,-0.28,36,0,893.9,0.66,854.46,9,0,0,1.0,35,1,0,0,0,0,1,214,shared,1372.48
87,Hyderabad,0.84,6.1,1575,shared,4,0,1,0,peak,0,0.41,17.31312327137646,78.4346835837709,1.78,3.36,5.0,47.0,4.0,0.9,15,cleanliness,-0.14,85,0,726.61,0.47,800.8,11,0,0,0.8,32,1,0,1,0,0,4,231,shared,977.53
88,Goa,0.51,9.0,1717,private,10,0,1,1,shoulder,1,0.53,15.223949254450059,74.14147789489124,0.99,0.15,9.0,68.0,3.0,0.38,47,value,-0.19,3,0,1112.99,0.63,420.05,12,0,0,0.9,38,1,1,1,1,0,1,362,shared,1917.53
89,Delhi,0.52,7.6,318,shared,4,0,1,1,shoulder,0,0.8,28.77670157629984,77.18256799277486,3.23,0.8,7.2,75.0,9.0,0.75,43,noise,0.02,12,0,1060.88,0.49,884.21,9,0,0,1.0,14,1,1,1,1,1,4,206,shared,1393.63
90,Agra,1.22,9.3,915,shared,2,0,1,1,low,0,0.94,27.083011909812267,78.00273465160427,1.49,0.78,7.1,82.0,7.2,0.29,17,staff,-0.03,69,0,972.07,0.59,471.71,7,0,0,1.2,2,1,1,1,1,1,5,82,shared,1391.99
91,Kolkata,0.82,8.4,352,shared,4,0,1,0,shoulder,0,0.81,22.66800285191998,88.43537803391743,0.55,3.29,7.6,65.0,1.9,0.32,17,value,-0.11,57,1,635.54,0.74,1021.63,4,0,0,0.9,21,0,0,1,0,1,1,127,ensuite,1370.03
92,Kolkata,7.98,9.2,445,shared,6,1,1,1,peak,0,0.65,22.512305738077085,88.44935428890666,0.46,0.36,9.0,84.0,4.7,0.82,43,location,0.2,1,0,491.46,0.75,954.19,2,0,0,0.7,31,0,0,0,1,1,1,309,shared,987.24
93,Udaipur,0.34,7.9,186,shared,12,0,1,1,peak,1,0.62,24.507464459375814,73.63097880578742,1.01,1.55,8.1,48.0,7.1,-0.07,38,location,0.0,59,0,1241.21,0.78,619.58,5,0,0,1.0,35,1,1,1,1,1,3,383,shared,1576.55
94,Goa,3.6,8.0,148,shared,6,0,1,1,peak,0,0.84,15.31469433095536,74.04316231593135,3.93,0.22,4.5,79.0,6.2,0.48,7,noise,-0.25,88,0,1490.1,0.26,571.7,4,0,0,0.9,16,0,1,1,1,1,1,256,shared,1604.63
95,Kolkata,0.63,6.5,203,shared,4,0,1,0,peak,0,0.84,22.48859719158814,88.35910883657752,0.13,4.62,6.3,90.0,6.6,0.67,36,cleanliness,-0.12,31,1,502.91,0.15,823.67,1,0,1,0.7,40,1,0,1,1,1,4,364,shared,1451.98
96,Manali,6.4,9.0,1219,shared,6,0,1,1,low,1,0.76,32.26009065263272,77.20632048886354,0.49,1.35,9.9,93.0,6.1,0.7,8,cleanliness,0.28,62,1,390.95,0.77,863.74,7,0,0,1.2,26,1,0,1,1,0,4,281,shared,1869.61
