hostel_id,distance_to_center_km,rating,num_reviews,beds_in_room,breakfast_included,wifi,laundry,weekend,occupancy_rate,latitude,longitude,distance_to_transport_hub_km,distance_to_popular_places,neighbourhood_popularity_score,walkability_score,noise_level_index,sentiment_score,review_keywords_count,recent_sentiment_trend,days_until_checkin,surge_pricing_flag,competitor_average_price,competitor_availability,price_last_week,month,holiday_or_festival,special_event_flag,seasonal_index,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,demand_index,rating_reviews_interaction,distance_season_interaction,price_occupancy_ratio,room_density,amenities_score,location_quality,popularity_index,value_score,weekend_premium,sentiment_quality,booking_urgency,last_minute_multiplier,city_encoded,cluster_label
53,0.11,8.5,34,8,0,1,1,0,1.0,15.34284557345092,74.20970835268547,2.36,1.48,7.8,83.0,2.8,0.7,33,0.19,20,0,1080.29,0.87,399.04,7,0,0,1.2,3,1,1,1,0,0,5,185,0.7584017008504252,30.220458522660014,0.33,0.9009009009009008,0.043243243243243246,5,8.001000000000001,3.022045852266001,1.25,0.0,5.949999999999999,0,0.513417119032592,4,1
54,6.76,9.1,852,4,1,1,1,1,0.54,18.59932405381361,73.813992963429,0.48,2.37,3.4,76.0,3.9,0.13,35,0.25,13,1,574.24,0.68,1175.25,9,1,0,1.0,45,1,0,1,1,0,5,125,0.6742426213106553,61.413711882174276,20.28,0.06958762886597938,0.032,6,4.994,6.141371188217428,0.13043478260869565,0.54,1.183,0,0.6483443410015097,11,0
55,5.9,6.2,800,6,1,1,0,0,0.57,13.058954413937418,77.55036732264215,5.46,1.18,3.4,49.0,5.4,0.84,6,-0.09,2,0,758.96,0.36,343.74,12,0,0,0.9,30,1,1,1,0,0,5,362,0.5240400200100049,41.45233787182383,5.9,0.08260869565217391,0.016574585635359115,5,3.794,4.145233787182383,0.16129032258064516,0.0,5.208,1,0.9355069850316178,1,4
56,1.83,9.5,747,8,1,1,1,0,0.98,26.9359997456994,75.77539673026794,1.45,1.3,8.5,71.0,8.5,-0.07,29,-0.02,30,0,302.64,0.79,822.93,6,0,1,1.1,36,0,0,1,0,1,4,107,0.7817373686843423,62.86532829075754,1.83,0.34628975265017664,0.07476635514018691,4,6.786,6.286532829075754,0.10810810810810811,0.0,-0.665,0,0.36787944117144233,6,1
57,1.49,6.1,66,6,1,1,1,0,0.51,12.882154916519855,77.56598298029431,1.23,2.41,9.0,55.0,3.8,0.05,42,0.24,88,0,649.35,0.7,762.68,12,1,0,0.9,23,1,0,1,0,0,3,186,0.4236033016508254,25.64862497828489,1.49,0.20481927710843373,0.03225806451612903,5,6.999999999999999,2.564862497828489,0.20833333333333334,0.0,0.305,0,0.05321934433892151,1,4
58,0.96,7.4,189,4,0,1,1,1,0.71,13.130872525992356,80.31796917253787,1.14,1.13,7.2,100.0,4.4,0.96,7,-0.27,46,0,505.61,0.69,522.46,1,1,0,0.7,7,0,0,1,0,1,1,113,0.5949094547273637,38.8279781339876,1.92,0.3622448979591837,0.035398230088495575,3,8.097999999999999,3.88279781339876,0.375,0.71,7.104,0,0.21581508339868974,2,4
59,1.94,6.1,241,8,0,1,0,1,0.54,26.83441906105238,75.81565041542632,2.36,1.42,6.0,56.0,4.0,-0.04,46,0.17,43,0,904.77,0.69,945.54,9,0,0,1.0,32,1,0,1,1,0,5,175,0.49311205602801406,33.48252012955579,3.88,0.1836734693877551,0.045714285714285714,4,6.162,3.348252012955579,0.12121212121212122,0.54,-0.244,0,0.23851255385430242,6,4
60,0.14,6.3,1927,4,0,1,0,1,0.96,18.554349623537565,73.90848420758125,1.2,1.09,8.9,54.0,1.1,0.87,47,-0.03,16,0,489.83,0.74,724.71,7,0,0,1.2,43,0,1,1,1,0,2,206,0.8657963981990995,47.65470239357409,0.42000000000000004,0.8421052631578946,0.019417475728155338,4,7.627999999999999,4.765470239357409,0.09090909090909091,0.96,5.481,0,0.5866462195100318,11,2
61,5.74,9.5,352,10,0,1,0,0,0.99,13.138573167149575,80.33470835823974,0.28,3.19,8.1,77.0,9.6,0.64,9,-0.07,89,0,1302.98,0.86,517.76,1,0,1,0.7,10,1,1,1,1,0,1,136,0.8162176088044022,55.731446540866315,17.22,0.14688427299703263,0.07352941176470588,5,5.720000000000001,5.573144654086631,0.45454545454545453,0.0,6.08,0,0.05147460670170076,2,1
62,0.11,7.3,486,4,0,1,1,1,0.89,28.74927294216529,77.18709622654684,4.24,0.4,7.1,71.0,2.3,-0.11,26,-0.03,80,0,1359.49,0.21,1209.22,4,0,1,0.9,37,1,1,0,1,1,3,203,0.723624312156078,45.174328098502905,0.33,0.8018018018018017,0.019704433497536946,5,7.362999999999999,4.51743280985029,0.13157894736842105,0.89,-0.8029999999999999,0,0.06948345122280154,3,4
63,1.2,7.6,1832,8,0,1,0,0,0.59,15.389676761152227,74.11018734635692,1.12,0.46,5.2,41.0,3.6,0.38,20,-0.05,55,0,1314.35,0.9,1026.77,5,0,0,1.0,33,1,1,1,1,1,1,229,0.7172916458229114,57.10419028358175,2.4,0.26818181818181813,0.034934497816593885,5,5.938000000000001,5.710419028358175,0.14705882352941177,0.0,2.888,0,0.1598797460796939,4,2
64,8.05,6.8,585,6,0,1,1,0,0.64,18.56802925689348,73.95363947789431,0.15,0.21,4.4,48.0,2.2,0.42,13,0.15,82,0,1478.16,0.8,313.37,2,1,0,0.7,26,0,1,1,1,0,1,330,0.6185292646323161,43.33857456912368,24.150000000000002,0.07071823204419889,0.01818181818181818,5,4.17,4.333857456912368,0.18518518518518517,0.0,2.856,0,0.06500225396303454,11,0
65,3.99,8.3,464,10,0,1,1,0,0.55,30.12554195559636,78.21073216268073,1.51,2.57,5.9,89.0,5.4,0.92,13,0.26,26,0,1397.58,0.45,852.05,3,0,0,0.8,43,1,0,0,0,0,3,106,0.6154232116058029,50.978910466375055,11.97,0.11022044088176353,0.09433962264150944,3,6.462000000000001,5.097891046637505,0.06818181818181818,0.0,7.636000000000001,0,0.4203503845086819,12,4
